,Name,apocentre,pericentre,eccentr,L_z,inclinationtheta,T_r,apocentre_error_lower,apocentre_error_upper,pericentre_error_lower,pericentre_error_upper,eccentr_error_lower,eccentr_error_upper,L_z_error_lower,L_z_error_upper,inclinationtheta_error_lower,inclinationtheta_error_upper,T_r_error_lower,T_r_error_upper
0,NGC0104,7.52,5.74,0.13,-1247.5,151.6,126.9,-0.01,0.01,-0.02,0.02,-0.01,0.01,-11.2,10.7,-0.6,0.6,-0.1,0.1
1,,7.68,5.68,0.15,-1335.8,147.6,123.5,-0.01,0.01,-0.03,0.03,-0.01,0.01,-12.2,10.6,-0.6,0.6,-0.1,0.1
2,,7.64,5.13,0.18,-1231.7,148.6,122.0,-0.02,0.02,-0.02,0.02,-0.01,0.01,-8.8,6.5,-0.8,0.7,-1.9,1.5
3,NGC0288,12.24,2.43,0.67,436.0,57.5,151.1,-0.16,0.15,-0.24,0.22,-0.02,0.02,-60.3,52.5,-1.1,1.7,-3.4,3.2
4,,12.35,1.95,0.73,371.4,64.7,144.5,-0.14,0.15,-0.21,0.23,-0.02,0.02,-55.9,58.8,-1.4,1.6,-3.0,3.0
5,,12.93,0.36,0.89,85.3,77.2,139.2,-0.42,0.64,-0.21,0.21,-0.02,0.01,-56.6,65.4,-6.7,8.3,-2.8,3.6
6,NGC0362,11.96,0.98,0.85,56.6,80.1,138.9,-0.27,0.31,-0.03,0.01,-0.01,0.01,-13.4,13.3,-5.3,3.6,-3.6,3.5
7,,11.78,0.67,0.9,29.3,80.6,129.5,-0.26,0.21,-0.13,0.06,-0.01,0.02,-14.5,11.8,-4.4,5.2,-3.0,3.0
8,,11.91,0.08,0.92,45.5,80.5,127.8,-0.13,0.29,-0.03,0.05,-0.02,0.03,-15.2,20.4,-3.0,3.3,-3.9,3.1
9,NGC1851,20.37,0.98,0.91,181.0,69.8,230.9,-0.29,0.22,-0.07,0.1,-0.01,0.01,-20.1,16.9,-3.3,3.3,-3.3,3.3
10,,20.23,0.69,0.94,82.4,71.2,224.5,-0.41,0.26,-0.07,0.11,-0.01,0.01,-17.9,19.0,-4.1,4.1,-3.0,3.5
11,,20.28,0.43,0.84,94.9,78.6,227.3,-0.18,0.63,-0.15,0.19,-0.01,0.01,-22.4,17.7,-3.4,3.4,-4.1,4.0
12,NGC1904,19.41,0.63,0.94,-48.7,96.8,217.3,-0.27,0.22,-0.02,0.14,-0.01,0.01,-55.0,59.0,-8.1,9.1,-3.2,4.1
13,,19.48,0.62,0.94,-192.4,128.1,214.0,-0.22,0.18,-0.09,0.09,-0.01,0.01,-48.9,56.5,-11.4,8.0,-2.5,3.5
14,,19.88,0.73,0.92,-355.9,134.6,208.5,-0.69,1.45,-0.11,0.08,-0.01,0.01,-37.9,55.1,-6.1,4.4,-4.0,4.7
15,NGC2298,17.71,2.08,0.79,647.0,55.2,207.0,-0.36,0.38,-0.23,0.24,-0.02,0.02,-82.5,79.9,-1.8,2.1,-5.5,5.9
16,,17.82,1.68,0.83,530.2,51.3,203.0,-0.3,0.35,-0.16,0.19,-0.01,0.01,-67.9,73.0,-1.5,2.0,-4.5,5.5
17,,17.78,0.79,0.88,360.0,49.5,190.7,-0.44,0.93,-0.15,0.13,-0.02,0.02,-52.1,44.6,-4.2,4.6,-7.6,2.5
18,NGC2808,14.14,1.05,0.86,-394.3,168.8,157.9,-0.22,0.23,-0.03,0.04,-0.01,0.01,-23.5,22.8,-0.9,0.7,-2.2,2.4
19,,14.29,1.18,0.85,-478.7,142.8,157.0,-0.24,0.23,-0.05,0.04,-0.01,0.01,-25.6,23.9,-1.0,1.5,-2.5,2.5
20,,13.9,0.64,0.88,-343.1,147.3,148.9,-0.28,0.78,-0.04,0.05,-0.01,0.01,-19.9,18.0,-4.3,3.1,-3.7,3.6
21,NGC3201,29.25,8.6,0.55,2793.7,27.5,388.8,-1.06,1.04,-0.07,0.02,-0.01,0.01,-40.8,37.7,-0.1,0.1,-12.5,11.8
22,,26.82,8.53,0.52,2762.7,27.6,365.0,-0.95,0.97,-0.07,0.06,-0.01,0.01,-39.6,37.1,-0.1,0.1,-11.5,12.0
23,,22.25,8.53,0.45,2707.1,24.4,307.1,-0.64,0.69,-0.07,0.07,-0.01,0.01,-35.7,37.1,-0.0,0.1,-6.8,6.8
24,NGC4372,7.3,3.15,0.4,-922.3,150.6,100.4,-0.03,0.03,-0.08,0.1,-0.01,0.01,-13.1,13.0,-0.5,0.6,-1.1,1.0
25,,7.4,3.14,0.4,-984.4,154.5,97.0,-0.03,0.03,-0.09,0.08,-0.01,0.01,-13.5,12.3,-0.5,0.8,-1.0,0.1
26,,7.33,1.46,0.48,-718.6,151.3,90.9,-0.19,0.11,-0.1,0.86,-0.01,0.01,-58.8,87.5,-3.7,2.9,-1.4,1.1
27,NGC4590,28.76,9.13,0.52,-2402.1,139.1,388.8,-0.79,0.76,-0.13,0.13,-0.01,0.01,-22.8,22.2,-0.5,0.6,-10.0,9.8
28,,29.57,9.1,0.53,-2492.4,138.5,403.0,-0.82,0.92,-0.11,0.13,-0.01,0.01,-24.4,20.7,-0.5,0.5,-10.5,12.0
29,,23.13,8.28,0.47,-2156.2,137.2,316.5,-0.49,0.57,-0.1,0.12,-0.01,0.01,-15.5,15.8,-0.6,0.5,-7.7,5.7
30,NGC4833,7.93,0.92,0.79,-249.8,141.8,90.7,-0.16,0.15,-0.08,0.05,-0.01,0.01,-31.4,30.9,-3.9,3.4,-1.9,1.9
31,,7.86,0.93,0.79,-282.2,133.2,86.0,-0.12,0.15,-0.09,0.02,-0.01,0.01,-30.0,26.2,-1.6,3.4,-1.5,1.5
32,,7.86,0.24,0.88,-151.4,127.4,83.8,-0.07,0.18,-0.08,0.07,-0.01,0.01,-28.6,25.9,-3.8,4.2,-2.0,3.0
33,NGC5024,21.73,8.58,0.43,-727.5,105.6,307.3,-0.39,0.39,-0.02,0.02,-0.01,0.01,-25.0,26.1,-0.7,0.7,-4.3,4.3
34,,21.95,9.05,0.42,-805.9,105.5,316.5,-0.38,0.39,-0.04,0.04,-0.01,0.01,-26.2,25.2,-0.6,0.6,-5.0,5.0
35,,21.29,8.59,0.42,-751.0,105.0,298.1,-0.42,0.44,-0.04,0.05,-0.01,0.01,-25.5,23.4,-0.6,0.7,-6.1,5.8
36,NGC5053,17.89,9.98,0.28,-652.1,103.7,279.3,-0.39,0.34,-0.05,0.05,-0.01,0.01,-27.1,23.5,-0.6,0.7,-3.8,3.6
37,,17.8,10.53,0.26,-729.1,103.7,285.0,-0.33,0.39,-0.06,0.06,-0.01,0.01,-24.1,27.5,-0.6,0.6,-3.5,4.5
38,,17.96,9.75,0.29,-677.5,103.3,272.3,-0.42,0.45,-0.05,0.06,-0.01,0.01,-21.7,20.9,-0.5,0.6,-3.7,3.9
39,NGC5139,7.12,1.6,0.63,502.8,41.4,86.7,-0.02,0.02,-0.01,0.01,-0.01,0.01,-13.2,12.6,-0.9,0.8,-0.5,0.6
40,,7.26,1.29,0.7,461.6,35.3,82.5,-0.04,0.03,-0.02,0.01,-0.01,0.01,-14.4,13.7,-1.3,2.0,-0.5,0.1
41,,7.03,1.48,0.62,519.0,26.4,81.8,-0.05,0.13,-0.08,0.03,-0.01,0.01,-26.9,27.3,-1.8,0.9,-2.1,1.8
42,NGC5272,16.03,5.29,0.5,-921.7,122.6,215.4,-0.24,0.26,-0.06,0.05,-0.01,0.01,-15.6,16.9,-0.5,0.5,-2.1,2.3
43,,16.0,5.48,0.49,-1003.6,119.9,214.5,-0.25,0.24,-0.05,0.05,-0.01,0.01,-17.1,15.8,-0.4,0.5,-2.5,2.0
44,,16.4,5.27,0.48,-963.3,120.2,204.0,-0.98,0.18,-0.05,0.03,-0.01,0.01,-11.7,13.0,-0.5,0.2,-5.0,4.5
45,NGC5286,13.67,1.15,0.85,362.3,55.4,155.3,-0.3,0.34,-0.09,0.1,-0.01,0.01,-49.9,52.2,-3.1,3.4,-3.6,4.3
46,,13.69,1.04,0.86,317.2,53.4,151.5,-0.34,0.31,-0.07,0.09,-0.01,0.01,-50.0,51.1,-2.7,2.7,-4.0,4.0
47,,13.81,0.96,0.83,401.7,46.0,145.9,-0.54,0.25,-0.12,0.2,-0.01,0.01,-46.5,58.3,-4.0,3.6,-4.0,4.2
48,NGC5466,48.1,6.17,0.77,854.1,71.8,590.1,-2.8,3.8,-0.46,0.58,-0.01,0.01,-58.6,67.6,-0.1,0.2,-37.1,51.1
49,,48.16,6.04,0.78,822.5,72.8,596.0,-3.04,3.71,-0.51,0.55,-0.01,0.01,-64.8,67.4,-0.0,0.0,-40.0,47.5
50,,33.96,4.24,0.78,526.8,74.4,393.5,-1.47,1.31,-0.43,0.45,-0.01,0.01,-50.8,60.8,-0.2,0.6,-18.0,22.9
51,NGC5634,22.41,3.14,0.75,-489.0,112.0,267.7,-0.78,0.52,-0.19,0.66,-0.04,0.02,-74.8,66.1,-1.4,1.2,-7.7,10.6
52,,22.09,3.19,0.75,-424.0,106.9,265.0,-0.63,0.65,-0.22,0.27,-0.01,0.01,-70.2,60.7,-1.6,1.5,-8.5,10.0
53,,22.41,1.58,0.8,-145.0,98.1,256.2,-0.34,1.56,-0.14,0.06,-0.01,0.01,-48.0,20.5,-1.2,3.3,-4.9,5.4
54,NGC5897,9.11,2.82,0.53,-395.5,119.2,120.9,-0.4,0.41,-0.3,0.28,-0.02,0.02,-60.2,60.8,-1.2,1.0,-6.5,6.5
55,,8.64,2.32,0.58,-347.4,112.3,107.0,-0.35,0.38,-0.25,0.31,-0.03,0.03,-63.7,53.4,-1.5,1.5,-5.5,6.5
56,,8.82,0.98,0.74,-243.3,113.6,105.2,-0.46,1.48,-0.58,0.3,-0.03,0.03,-75.9,88.0,-4.2,5.2,-5.8,4.5
57,NGC5904,25.35,2.69,0.81,-358.5,106.6,298.8,-1.58,1.48,-0.08,0.11,-0.01,0.01,-18.3,15.0,-1.4,1.7,-18.5,17.5
58,,23.66,2.69,0.8,-401.4,108.2,279.5,-1.39,1.5,-0.04,0.06,-0.01,0.01,-19.0,17.5,-1.4,1.3,-16.0,18.5
59,,16.06,2.76,0.66,-365.7,106.7,191.0,-0.39,1.16,-0.11,0.09,-0.01,0.01,-42.0,25.7,-1.3,3.1,-7.0,10.4
60,NGC5927,5.42,4.34,0.11,-1061.8,171.6,90.0,-0.09,0.1,-0.01,0.02,-0.01,0.01,-8.0,6.8,-0.2,0.2,-0.7,0.8
61,,5.19,4.31,0.09,-1102.7,167.2,84.0,-0.07,0.09,-0.03,0.04,-0.01,0.01,-5.5,5.0,-0.2,0.2,-0.5,0.5
62,,5.75,2.97,0.22,-892.5,166.6,84.8,-0.06,0.08,-0.1,0.06,-0.01,0.01,-7.8,7.6,-0.3,0.3,-2.9,1.8
63,NGC5946,5.93,0.85,0.75,-173.5,107.4,71.6,-0.16,0.17,-0.13,0.11,-0.02,0.03,-36.4,32.7,-2.5,2.5,-2.4,2.6
64,,5.72,0.76,0.77,-163.6,119.5,65.5,-0.2,0.19,-0.01,0.09,-0.02,0.02,-30.3,33.1,-2.3,1.9,-3.0,2.0
65,,6.41,0.07,0.73,-38.2,100.7,68.8,-0.12,0.23,-0.02,0.03,-0.01,0.01,-25.7,21.5,-6.2,6.4,-2.7,3.1
66,NGC5986,4.92,0.85,0.7,-152.2,124.1,61.7,-0.16,0.14,-0.1,0.14,-0.03,0.02,-38.4,32.4,-3.8,3.3,-2.1,2.4
67,,4.95,0.52,0.81,-133.1,124.3,55.5,-0.16,0.1,-0.08,0.16,-0.05,0.03,-32.4,34.1,-2.3,4.1,-2.0,2.0
68,,5.24,0.07,0.87,-24.0,96.6,56.6,-0.24,0.28,-0.02,0.03,-0.01,0.01,-45.6,53.3,-15.0,10.6,-2.1,2.0
69,NGC6093,3.72,1.1,0.54,-45.5,100.7,51.8,-0.13,0.13,-0.12,0.14,-0.03,0.03,-18.6,15.9,-2.6,2.6,-2.3,2.4
70,,3.89,0.6,0.74,-28.5,97.8,45.5,-0.07,0.09,-0.23,0.14,-0.05,0.09,-15.9,13.3,-1.3,2.0,-1.5,2.5
71,,4.41,0.1,0.93,7.9,88.5,50.1,-0.19,0.16,-0.04,0.04,-0.02,0.01,-50.0,35.8,-8.0,9.9,-1.9,1.0
72,NGC6121,6.0,0.39,0.88,5.0,77.2,69.2,-0.13,0.12,-0.09,0.09,-0.03,0.03,-33.1,33.7,-42.7,70.3,-0.5,0.6
73,,6.08,0.41,0.88,-49.4,110.8,65.5,-0.11,0.01,-0.04,0.05,-0.01,0.01,-36.1,31.9,-10.5,9.1,-0.5,1.0
74,,6.15,0.1,0.83,-77.5,118.9,68.7,-0.06,0.09,-0.05,0.09,-0.02,0.01,-40.3,48.6,-19.7,13.6,-1.1,2.2
75,NGC6144,3.57,2.3,0.22,243.6,64.0,57.5,-0.02,0.04,-0.12,0.09,-0.01,0.02,-20.4,21.1,-1.9,1.9,-0.6,1.2
76,,2.96,2.39,0.11,228.5,68.2,36.0,-0.02,0.05,-0.09,0.07,-0.01,0.02,-23.7,21.0,-1.5,1.8,-0.5,1.0
77,,4.14,1.97,0.18,273.8,62.8,55.6,-0.04,0.07,-0.11,0.12,-0.01,0.02,-20.1,25.7,-1.6,1.4,-1.9,2.1
78,NGC6171,3.52,1.16,0.5,-160.1,126.2,50.2,-0.05,0.03,-0.03,0.06,-0.01,0.01,-18.4,17.3,-2.0,1.9,-0.8,0.6
79,,3.74,0.94,0.6,-195.0,121.8,47.0,-0.02,0.03,-0.07,0.06,-0.02,0.02,-19.5,19.2,-1.6,1.5,-0.5,1.0
80,,3.86,1.03,0.45,-189.0,117.5,46.1,-0.16,0.16,-0.38,0.1,-0.01,0.01,-50.8,67.0,-8.3,5.1,-0.7,2.2
81,NGC6205,8.61,1.71,0.67,245.3,69.3,107.2,-0.08,0.09,-0.01,0.01,-0.01,0.01,-9.9,9.8,-1.4,1.3,-0.8,0.7
82,,8.63,1.53,0.7,199.4,72.1,101.5,-0.07,0.09,-0.02,0.02,-0.01,0.01,-10.1,10.5,-1.2,1.1,-0.5,0.5
83,,9.08,1.49,0.66,208.8,73.0,105.2,-0.37,0.08,-0.03,0.01,-0.01,0.01,-15.5,24.8,-2.6,1.3,-4.7,0.9
84,NGC6218,4.88,2.44,0.33,-526.3,141.7,73.0,-0.04,0.04,-0.05,0.05,-0.01,0.01,-19.4,19.5,-1.0,1.0,-0.7,0.8
85,,5.0,2.41,0.35,-586.1,138.1,69.5,-0.04,0.04,-0.05,0.06,-0.01,0.01,-19.8,21.1,-1.1,1.0,-1.0,0.5
86,,4.92,1.84,0.3,-508.3,138.2,70.6,-0.11,0.1,-0.06,0.04,-0.01,0.01,-16.7,26.8,-1.3,1.7,-5.6,1.2
87,NGC6235,6.19,3.35,0.3,-613.0,130.2,94.1,-0.65,0.68,-0.26,0.28,-0.02,0.02,-91.1,85.2,-2.2,2.0,-8.6,9.0
88,,5.04,3.15,0.23,-549.0,125.9,76.5,-0.5,0.55,-0.26,0.27,-0.01,0.01,-85.4,80.0,-2.4,2.2,-6.5,7.5
89,,5.79,2.12,0.28,-511.5,127.9,66.7,-1.12,0.09,-0.13,0.05,-0.01,0.02,-11.2,129.6,-4.5,0.5,-5.3,5.1
90,NGC6254,5.17,2.33,0.38,-556.8,142.7,74.4,-0.07,0.07,-0.05,0.05,-0.01,0.01,-19.4,20.0,-1.1,1.1,-1.0,1.0
91,,5.28,2.3,0.39,-614.6,142.1,71.0,-0.07,0.08,-0.06,0.06,-0.01,0.01,-24.1,21.8,-1.1,1.2,-1.0,0.1
92,,4.94,1.97,0.27,-544.5,141.1,73.7,-0.11,0.26,-0.05,0.02,-0.01,0.01,-25.2,8.1,-1.0,2.2,-2.2,3.4
93,NGC6266,2.11,0.91,0.4,-180.2,144.5,33.4,-0.13,0.13,-0.02,0.01,-0.02,0.02,-15.3,16.3,-2.0,1.6,-1.4,1.4
94,,2.36,0.69,0.55,-209.3,145.9,31.0,-0.01,0.1,-0.07,0.07,-0.02,0.02,-18.5,16.9,-0.2,0.4,-1.5,1.5
95,,2.28,0.55,0.31,-195.6,138.2,42.9,-0.08,0.27,-0.25,0.12,-0.01,0.01,-18.2,18.2,-2.5,6.1,-20.1,1.8
96,NGC6273,4.51,1.34,0.54,155.8,68.7,61.7,-0.18,0.21,-0.16,0.14,-0.02,0.03,-43.5,41.0,-4.8,5.5,-3.0,3.1
97,,3.38,1.32,0.44,115.4,75.3,47.0,-0.16,0.2,-0.07,0.09,-0.01,0.01,-47.5,44.1,-4.5,5.6,-2.5,2.5
98,,4.78,0.85,0.51,211.5,60.3,58.6,-0.23,0.43,-0.17,0.14,-0.01,0.01,-39.9,32.1,-3.2,4.2,-4.2,4.4
99,NGC6284,7.63,1.09,0.75,-68.0,95.5,92.9,-0.36,0.33,-0.11,0.22,-0.03,0.01,-46.4,39.4,-3.0,3.1,-4.5,5.1
100,,7.31,1.07,0.75,-12.0,91.6,84.5,-0.39,0.32,-0.1,0.12,-0.01,0.01,-36.6,40.6,-5.8,4.1,-4.5,4.5
101,,8.21,0.65,0.6,164.5,67.4,91.8,-0.57,0.38,-0.11,0.05,-0.01,0.01,-50.0,42.3,-6.4,6.3,-5.4,5.9
102,NGC6287,6.23,1.04,0.72,54.8,84.9,77.6,-0.36,0.38,-0.04,0.02,-0.01,0.01,-7.5,4.8,-0.2,0.4,-4.0,4.1
103,,4.74,1.24,0.59,52.5,83.6,59.5,-0.27,0.33,-0.05,0.05,-0.01,0.01,-8.4,8.0,-0.6,0.8,-3.0,3.5
104,,7.13,0.23,0.72,16.2,86.5,76.7,-0.4,0.65,-0.14,0.29,-0.01,0.02,-50.7,40.9,-5.6,7.4,-3.3,4.9
105,NGC6293,3.23,0.8,0.61,90.4,46.0,44.4,-0.16,0.31,-0.03,0.01,-0.02,0.02,-19.2,19.1,-1.7,5.9,-2.2,3.3
106,,2.81,0.47,0.71,76.6,64.5,34.5,-0.23,0.47,-0.07,0.11,-0.06,0.07,-22.9,23.6,-11.0,5.0,-3.0,4.0
107,,3.8,0.4,0.47,134.8,60.6,49.6,-0.29,0.48,-0.26,0.09,-0.02,0.02,-50.1,35.1,-3.5,9.9,-2.4,2.7
108,NGC6304,3.14,1.79,0.27,-433.0,160.1,49.7,-0.17,0.16,-0.08,0.08,-0.01,0.01,-27.1,26.3,-0.9,0.8,-2.1,2.1
109,,3.13,1.87,0.26,-485.0,155.5,48.0,-0.2,0.2,-0.04,0.05,-0.04,0.02,-27.8,25.0,-2.1,1.5,-2.5,1.5
110,,3.18,0.46,0.21,-314.2,152.8,46.0,-0.09,0.14,-0.22,0.26,-0.01,0.01,-51.0,74.0,-6.8,4.1,-3.4,2.9
